Seed,Accuracy,AUC,DI_RACE,Fair_DI_RACE,SPD_RACE,Fair_SPD_RACE,EOPP_RACE,Fair_EOPP_RACE,EOD_RACE,Fair_EOD_RACE,TI_RACE,Fair_TI_RACE,PP_RACE,Fair_PP_RACE,CAL_RACE,Fair_CAL_RACE,DI_SEX,Fair_DI_SEX,SPD_SEX,Fair_SPD_SEX,EOPP_SEX,Fair_EOPP_SEX,EOD_SEX,Fair_EOD_SEX,TI_SEX,Fair_TI_SEX,PP_SEX,Fair_PP_SEX,CAL_SEX,Fair_CAL_SEX,DI_ETHNICITY,Fair_DI_ETHNICITY,SPD_ETHNICITY,Fair_SPD_ETHNICITY,EOPP_ETHNICITY,Fair_EOPP_ETHNICITY,EOD_ETHNICITY,Fair_EOD_ETHNICITY,TI_ETHNICITY,Fair_TI_ETHNICITY,PP_ETHNICITY,Fair_PP_ETHNICITY,CAL_ETHNICITY,Fair_CAL_ETHNICITY,DI_AGE_GROUP,Fair_DI_AGE_GROUP,SPD_AGE_GROUP,Fair_SPD_AGE_GROUP,EOPP_AGE_GROUP,Fair_EOPP_AGE_GROUP,EOD_AGE_GROUP,Fair_EOD_AGE_GROUP,TI_AGE_GROUP,Fair_TI_AGE_GROUP,PP_AGE_GROUP,Fair_PP_AGE_GROUP,CAL_AGE_GROUP,Fair_CAL_AGE_GROUP
1,0.8678401954319933,0.9456047204625054,0.6469333080730799,0,0.17629706369046377,0,0.059173835872864955,1,0.059173835872864955,1,0.0050147626074742435,1,0.09124795578864264,1,0.12206090456294344,0,0.7529705733712222,0,0.12794721190576347,0,0.04239039593542937,1,0.05489525015180932,1,0.0032894652507605773,1,0.0017983594627586363,1,0.044505187840680915,1,0.821604146127698,1,0.08194800611515263,1,0.027501520726335604,1,0.031551939435398496,1,0.0018483358973895858,1,0.0013575200253151953,1,0.03707472274759038,1,0.4858043738051639,0,0.3181491402212979,0,0.12558107340207791,0,0.12983156075487085,0,0.004544777250689178,1,0.02532864111565636,1,0.036308001098176,1
8,0.8675537492028147,0.945595885554428,0.6520011455312096,0,0.173165528161686,0,0.06290796582058711,1,0.06290796582058711,1,0.004951829050465234,1,0.09638222948418174,1,0.15679153370057922,0,0.753051817110425,0,0.12763945178725017,0,0.042128520104038,1,0.054698276209694266,1,0.003326734824007062,1,0.001691068198890755,1,0.0411654172823297,1,0.821748602274902,1,0.08171315153098624,1,0.027817159062094032,1,0.03101376472924529,1,0.0019084834486298718,1,0.0018861265777705416,1,0.03703315362470705,1,0.4861346881493763,0,0.3172188925668528,0,0.12540142938223808,0,0.1284836208340669,0,0.0045754174991795085,1,0.02593986929588543,1,0.03586672907101285,1
15,0.8675483445569812,0.9454633372123975,0.6479417777661011,0,0.17551989517442385,0,0.06723697014959151,1,0.06723697014959151,1,0.004757349174825724,1,0.09611229718993453,1,0.14831717812215983,0,0.7534592682562842,0,0.12750515612206498,0,0.04162587210478108,1,0.05488496166774219,1,0.0034082859919830205,1,0.0016205009672716209,1,0.041402018312846456,1,0.8206068396026909,1,0.08233803170700893,1,0.029498181479458596,1,0.030877441637156014,1,0.001974610643918788,1,0.0024344175627438736,1,0.03266944660858684,1,0.48573841040904747,0,0.31785268211449674,0,0.12570714701879127,0,0.12948546252680432,0,0.0046266519870985096,1,0.02548382942839067,1,0.03459627017255973,1
22,0.867856409369494,0.945525854460366,0.6492408158153785,0,0.17528115356646123,0,0.062161139831042656,1,0.062161139831042656,1,0.004817520343691463,1,0.0955578894925706,1,0.14190834720400763,0,0.7530334175132812,0,0.12778363193880482,0,0.042295523235759025,1,0.05467618074442948,1,0.003421959150306818,1,0.001797712072376112,1,0.04210361167731752,1,0.8189975519738184,1,0.08312651131439397,1,0.028990981022558482,1,0.03252233125274012,1,0.001983843826742826,1,0.0001915461863665202,1,0.03272932457317723,1,0.4866384359384252,0,0.3171086333750851,0,0.12449627893290216,0,0.12870140700721586,0,0.0048444687406641734,1,0.02574070741420109,1,0.039004316078338874,1
29,0.867856409369494,0.9455515010931557,0.6368938517142059,0,0.18096516858783823,0,0.062161139831042656,1,0.062161139831042656,1,0.004975946520067706,1,0.07807628114652476,1,0.09677917719644435,0,0.7528701007797849,0,0.12791548185803392,0,0.043070851943943,1,0.05421538346605374,1,0.0032201572941603987,1,0.0023981910414710983,1,0.0401769124236554,1,0.819913198517878,1,0.08270465447666137,1,0.028299783264153833,1,0.03228793593637308,1,0.0019399647028635614,1,0.00042705498478745607,1,0.03403475385556021,1,0.48490255654264913,0,0.3187071231602603,0,0.1271133143536598,0,0.1295773215902598,0,0.004629758838323179,1,0.025411100447010004,1,0.03679602676648319,1
36,0.867159210056965,0.9454644114196924,0.650195829561927,0,0.17454716107909024,0,0.05992066186240941,1,0.05992066186240941,1,0.004637360259423733,1,0.09496015795228385,1,0.17073182545127197,0,0.7533599430400585,0,0.12762922317329323,0,0.042450135972376346,1,0.054525701230830365,1,0.0033555605815908315,1,0.0023597728801145745,1,0.03826809544200871,1,0.8206938287234786,1,0.08233680876156446,1,0.028918066134776987,1,0.03138280579143575,1,0.001852687860293814,1,0.0019224359716045747,1,0.03805983572871985,1,0.4854681961534652,0,0.3182468241403228,0,0.12635794866279781,0,0.13012530120033755,0,0.0047269198716810915,1,0.02570498572060953,1,0.03401319628887178,1
43,0.8679699069319987,0.9456219555099694,0.6413078010463574,0,0.17910605245450872,0,0.05992066186240941,1,0.05992066186240941,1,0.004879367976726209,1,0.08530616424329296,1,0.09702108324793146,0,0.7531027272714684,0,0.12773321536059384,0,0.041735906316197835,1,0.055044970416843156,1,0.003323014274619708,1,0.0012990635324641175,1,0.044818434245662786,1,0.8194014484237013,1,0.08292623292019058,1,0.02937906379711608,1,0.03187120109986581,1,0.0019650282952477574,1,0.0010220884038552036,1,0.03452624492802947,1,0.48678912944374486,0,0.3169572937821449,0,0.1249575542600403,0,0.12782178079060874,0,0.004592704398753082,1,0.02648295921724808,1,0.03525381426001983,1
50,0.8676077956611503,0.9455561515074571,0.6487845740431121,0,0.1748722547443906,0,0.07081914848905135,1,0.07081914848905135,1,0.00490294483660083,1,0.100920689499163,0,0.19945159692869446,0,0.7545009334745315,0,0.12706050164681593,0,0.04160943828596797,1,0.05398394407912492,1,0.0034381297623121768,1,0.002755697560778425,1,0.0419745327513284,1,0.8220650590434893,1,0.0817587956269224,1,0.027356994094453913,1,0.03138280579143575,1,0.001997338905967254,1,0.0016915614120472933,1,0.03285654231325785,1,0.48688860530568745,0,0.3173294475688076,0,0.12454297561796634,0,0.129338860735525,0,0.004691073417373855,1,0.02614554753919207,1,0.03493045408852691,1
57,0.8674780841611449,0.9455226986261267,0.6511536570404844,0,0.17381316859171925,0,0.06365479181013156,1,0.06365479181013156,1,0.0051245354845130195,1,0.09548718179567395,1,0.1348332381934425,0,0.753025201111749,0,0.12776968395464128,0,0.042213860233239475,1,0.05488839116243123,1,0.0033600359599296747,1,0.0017292363144785217,1,0.03796562802425424,1,0.8214085802218215,1,0.08195010888803073,1,0.027492182314035052,1,0.03166453545077692,1,0.0019160515595284464,1,0.0011747621049412738,1,0.03599826444320353,1,0.48695977090602655,0,0.31678072969117216,0,0.1239391396613787,0,0.1289840125519931,0,0.004618839017355755,1,0.025785508774720856,1,0.034180896244529024,1
64,0.8678456000778269,0.9455107790374322,0.6570190872929296,0,0.17083147571299878,0,0.05633848352294957,1,0.05633848352294957,1,0.004952174625514123,1,0.09847657342865479,1,0.11211680713070865,0,0.7527298942563874,0,0.1278969482731468,0,0.04259784746064965,1,0.05463350831103049,1,0.0034072315164269326,1,0.001774310372791521,1,0.041752983929098514,1,0.8216927419994855,1,0.08177857367760588,1,0.02776138263074135,1,0.03108882873949756,1,0.0019456282624735546,1,0.0017499604200355012,1,0.03303257266676607,1,0.485228069064848,0,0.31816161935573006,0,0.12665249562262382,0,0.12892091478141932,0,0.004582704440478619,1,0.02557471398338207,1,0.040675789096206394,1
